indicator_name,indicator_code,country_name,country_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Brunei Darussalam,BRN,2.543247677,2.541938983,2.529896982,2.597885579,2.547962748,2.229675837,1.932932818,1.946953827,1.869585551,2.393661383,2.278261729,1.864972674,1.859721383,1.898314588,1.914368116,2.387899697,2.548286878,2.373277334,2.373277334
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Cambodia,KHM,6.549541137,7.111744158,7.234725356,6.949429369,7.934511548,6.852789968,6.11836515,4.92112484,6.619379469,7.583359847,6.911698729,7.535318732,7.261154556,7.138678288,6.715774549,6.194315857,6.116484478,5.918841893,5.918841893
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,China,CHN,4.473415171,4.223583175,4.348249369,4.383237379,4.25689593,4.142215129,3.918799785,3.658684716,3.877227834,4.321824387,4.279914361,4.325513169,4.549399183,4.712236864,4.773227125,4.888723456,4.981886352,5.151193216,5.151193216
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,India,IND,4.349323326,4.262781143,4.241667684,4.84797889,3.957392275,3.791162372,3.634778377,3.517541662,3.51468639,3.485378624,3.272119164,3.246342182,3.329353345,3.749441728,3.619565442,3.595659882,3.519832883,3.534959629,3.534959629
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Indonesia,IDN,1.993149597,2.174175158,2.334793686,2.313373837,2.172131464,2.584945637,2.672218364,2.876177246,2.613757992,2.684943378,2.968998448,2.955423153,2.928667137,2.966562284,3.117121112,3.118225142,3.119548921,2.989544713,2.989544713
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Japan,JPN,7.159132999,7.359197736,7.473364472,7.611277346,7.657194138,7.786688845,7.878426427,7.894664192,8.199514449,9.582966845,9.156773239,1.616717488,1.796535268,1.791593795,1.832496976,1.885568684,1.825528949,1.935933143,1.935933143
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Lao PDR,LAO,4.275137187,4.29316999,3.697511926,4.479278435,3.545728966,3.336732462,2.932947344,3.15345563,2.767273386,3.463378442,2.911552414,1.944575862,2.76375857,2.399849892,2.298455499,2.45366454,2.36874787,2.528868635,2.528868635
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Malaysia,MYS,2.564844422,2.728316564,2.724182233,2.98331878,2.917645499,2.844622545,3.171842545,3.121642296,3.815246546,3.32245715,3.228724748,3.388656333,3.54644917,3.571852669,3.773287765,3.894942559,3.79941836,3.859398142,3.859398142
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Myanmar,MMR,1.842994926,1.836426929,2.915272558,2.464339116,2.131642215,2.141625777,1.935175988,1.732196984,1.938597858,2.467447856,1.825433729,1.784178943,2.325935955,3.482787639,4.149491164,5.197115242,4.767122865,4.659723973,4.659723973
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Philippines,PHL,3.154817597,2.947585287,2.733311857,3.19143869,3.167922498,3.941843567,3.945848718,3.919542283,4.279243141,4.353533313,4.312762619,4.269377325,4.374652356,4.463811219,4.127411544,4.321368784,4.469673866,4.446477851,4.446477851
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Singapore,SGP,3.351741657,3.181589135,3.382513332,3.639424362,3.173555612,3.429631472,2.951292694,2.852637693,3.217931464,3.429339454,3.248543665,3.189135343,3.367587924,3.714843839,3.891367927,4.245934753,4.422381523,4.443828685,4.443828685
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,South Korea,KOR,3.998532519,4.575431347,4.315283895,4.596621916,4.584299414,4.837432685,5.182642643,5.376113951,5.675645173,6.924858713,6.221941113,6.294254214,6.437445432,6.578838817,6.821474433,7.455592585,7.325122725,7.638636267,7.638636267
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Thailand,THA,3.112535952,3.262321234,3.334723446,3.243127838,3.138936312,3.159722313,3.99799479,3.192771971,3.459339589,3.619439315,3.399799633,3.568261117,3.522947259,3.453133255,3.684488683,3.667894578,3.763326695,3.746163236,3.746163236
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,United States,USA,12.52524257,13.16949335,13.95532825,14.45544512,14.53713328,14.54213858,14.6588316,14.89933383,15.29529393,16.34411728,16.41195267,16.37629276,16.37153327,16.34751773,16.53166264,16.83988124,17.19726266,17.61269283,17.61269283
Current Health Expenditure (% Of GDP),SH.XPD.CHEX.GD.ZS,Vietnam,VNM,4.849269614,5.728165732,4.575873519,4.655486237,4.823932797,5.965558233,5.391996726,5.462799594,5.147784786,5.293551874,5.96677214,5.873975533,6.278498887,6.335599245,5.783177167,5.65262116,5.659193546,5.532128364,5.532128364
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Brunei Darussalam,BRN,2.146181157,2.114721762,2.114726976,2.154911395,2.116395534,1.865481399,1.623727567,1.692577451,1.686343713,2.165739238,2.94599613,1.761734573,1.687125329,1.719731465,1.773956796,2.268365398,2.421386912,2.253564895,2.253564895
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Cambodia,KHM,1.292652324,1.184939872,1.396731474,1.481688395,1.372884277,1.226955813,0.959914458,0.971993897,1.243126326,1.217385847,1.362832356,1.279871352,1.46735118,1.41955819,1.239772478,1.344651449,1.33381458,1.487934978,1.487934978
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,China,CHN,0.983459213,0.967249433,1.138393714,1.242861524,1.287455857,1.356895827,1.377374142,1.427841745,1.726234518,2.134983632,2.184296998,2.323755994,2.535619214,2.687815834,2.788339787,2.942828447,2.894544426,2.91935374,2.91935374
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,India,IND,0.834429823,0.846814245,0.772196562,0.752432913,0.711634615,0.763368695,0.745353383,0.735127411,0.795278978,0.892612617,0.857518495,0.937319174,0.931868695,0.865419323,0.856535592,0.921931863,0.942292158,0.959156965,0.959156965
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Indonesia,IDN,0.547827645,0.77151116,0.674224878,0.817848649,0.749262964,0.732137436,0.83842834,1.186986998,0.897912418,0.921643153,0.761511133,0.83833737,0.871969759,0.926396628,1.762531313,1.213937679,1.398181822,1.445992823,1.445992823
Domestic General Government Health Expenditure (% Of GDP),SH.XPD.GHED.GD.ZS,Japan,JPN,5.751517425,5.958367894,6.349643234,6.864811132,6.146751717,6.315411372,6.271378696,6.419429718,6.655596942,7.363868548,7.518924368,8.895588117,9.566694736,9.939536219,9.111688287,9.152859449,9.974725783,9.196315497,9.196315497
